model,val_loss,val_dice,val_jaccard,val_bacc,val_auc,epoch
manet_baseline_single_f0,0.33399614691734314,0.8986278176307678,0.8159456253051758,0.9127600491046906,0.9754468649625778,42
manet_baseline_single_f1,0.3301597535610199,0.9011585414409637,0.8201315701007843,0.9134439378976822,0.9757834225893021,68
manet_baseline_single_f2,0.3320442661643028,0.8999267369508743,0.8180994987487793,0.9131268560886383,0.9755692034959793,61
manet_baseline_single_f3,0.3413045331835747,0.8948120027780533,0.8097101300954819,0.9120055437088013,0.9748825430870056,53
manet_baseline_single_f4,0.3584226965904236,0.8909941911697388,0.8035083562135696,0.906380832195282,0.9717971831560135,66
manet_baseline_double_f0,0.3347083330154419,0.8983629941940308,0.8155045062303543,0.9124745279550552,0.9753375053405762,20
manet_baseline_double_f1,0.3341169208288193,0.9007097780704498,0.8193843960762024,0.9133139699697495,0.9754238873720169,34
manet_baseline_double_f2,0.3355373814702034,0.8992691934108734,0.8170159012079239,0.9127879738807678,0.9753124266862869,38
manet_baseline_double_f3,0.33940091729164124,0.894616886973381,0.8093878477811813,0.9108873307704926,0.9749360233545303,26
manet_baseline_double_f4,0.35726918280124664,0.8919330388307571,0.805029034614563,0.907308965921402,0.9721217900514603,29
manet_rotate_90_cw_f0,0.33635322749614716,0.8986082226037979,0.8159145712852478,0.913344606757164,0.9755267351865768,87
manet_rotate_90_cw_f1,0.3286764919757843,0.9012923091650009,0.8203471750020981,0.9134031385183334,0.9758963882923126,56
manet_rotate_90_cw_f2,0.33219389617443085,0.9001438021659851,0.8184570819139481,0.9134711176156998,0.9756461381912231,57
manet_rotate_90_cw_f3,0.3391749709844589,0.8949524760246277,0.8099409937858582,0.911665603518486,0.9750164151191711,72
manet_rotate_90_cw_f4,0.35889892280101776,0.8913898468017578,0.804158627986908,0.9071348458528519,0.9719285368919373,78
manet_rotate_180_f0,0.33258700370788574,0.8987177759408951,0.8160916268825531,0.9127480685710907,0.9756554216146469,49
manet_rotate_180_f1,0.3318694084882736,0.9013447910547256,0.8204423636198044,0.9138907045125961,0.9757758677005768,76
manet_rotate_180_f2,0.3309944272041321,0.9005210250616074,0.8190812468528748,0.9137682467699051,0.9757770150899887,42
manet_rotate_180_f3,0.34005869925022125,0.8947800844907761,0.8096514791250229,0.9114730507135391,0.9748966544866562,34
manet_rotate_180_f4,0.35684338212013245,0.8916948735713959,0.8046583235263824,0.9073458164930344,0.9720768332481384,42
manet_rotate_90_ccw_f0,0.3337037190794945,0.8988444060087204,0.8163047730922699,0.9131399840116501,0.9756090044975281,69
manet_rotate_90_ccw_f1,0.3305131196975708,0.9012046158313751,0.8202049732208252,0.9136573672294617,0.9757035821676254,56
manet_rotate_90_ccw_f2,0.33148661255836487,0.9005136042833328,0.8190709501504898,0.9139405488967896,0.9758945852518082,57
manet_rotate_90_ccw_f3,0.33882462978363037,0.8947084099054337,0.8095382302999496,0.9111406207084656,0.9750775694847107,83
manet_rotate_90_ccw_f4,0.35808999091386795,0.8912751227617264,0.8039738833904266,0.9066060781478882,0.9719866663217545,55
manet_flip_horizontal_f0,0.3338887169957161,0.8988529741764069,0.8163169473409653,0.9132859706878662,0.9756402969360352,68
manet_flip_horizontal_f1,0.33079417794942856,0.9015558511018753,0.8207891434431076,0.9140235781669617,0.975895568728447,78
