model,test_loss,val_loss,test_dice,val_dice,test_jaccard,val_jaccard,test_bacc,val_bacc,test_auc,val_auc,epoch
manet_baseline_single_s0,0.34953510761260986,0.334811806678772,0.8942922949790955,0.9004335403442383,0.8087962865829468,0.8188986778259277,0.9110111594200134,0.9119998812675476,0.9739516973495483,0.9749674797058105,38
manet_baseline_single_s1,0.34933775663375854,0.3359055519104004,0.8940976858139038,0.8996521830558777,0.8084779977798462,0.817607045173645,0.9107095003128052,0.9112058877944946,0.97385174036026,0.9747884273529053,37
manet_baseline_single_s2,0.3515644669532776,0.33627474308013916,0.89366614818573,0.8999083042144775,0.8077725768089294,0.8180302381515503,0.9106097221374512,0.9116002321243286,0.9738168716430664,0.9748398065567017,58
manet_baseline_single_s3,0.35312575101852417,0.3362070322036743,0.8938186168670654,0.9003522992134094,0.8080217838287354,0.8187642693519592,0.9108561873435974,0.9120427966117859,0.9739530682563782,0.9749734401702881,42
manet_baseline_single_s4,0.348981112241745,0.3359491229057312,0.8941718935966492,0.9000085592269897,0.8085992932319641,0.8181959986686707,0.9107155799865723,0.911522626876831,0.9738103151321411,0.9747655391693115,37
manet_baseline_double_s0,0.349548876285553,0.3361637592315674,0.89409339427948,0.8998985886573792,0.8084710240364075,0.8180142045021057,0.9108171463012695,0.9115099906921387,0.9739395976066589,0.9748740196228027,20
manet_baseline_double_s1,0.3465085029602051,0.3330966830253601,0.8948839902877808,0.9004310965538025,0.8097647428512573,0.8188946843147278,0.9112750291824341,0.9118639230728149,0.9741264581680298,0.9751685857772827,22
manet_baseline_double_s2,0.35386326909065247,0.33719372749328613,0.8934924602508545,0.9000158905982971,0.8074887990951538,0.8182080984115601,0.9105560183525085,0.9117501974105835,0.9738306403160095,0.9748232960700989,41
manet_baseline_double_s3,0.3549949824810028,0.337225079536438,0.8933135271072388,0.8998995423316956,0.8071966171264648,0.8180158138275146,0.9104682207107544,0.9116597175598145,0.9737842082977295,0.9748605489730835,41
manet_baseline_double_s4,0.34901589155197144,0.33621007204055786,0.894110381603241,0.9002370238304138,0.808498740196228,0.8185737133026123,0.9108299016952515,0.9118022918701172,0.973885178565979,0.9748862981796265,17
manet_rotate_90_cw_s0,0.34774523973464966,0.3339422345161438,0.8944380283355713,0.9004194736480713,0.8090347051620483,0.8188754320144653,0.9111441373825073,0.9119796752929688,0.9742164611816406,0.9751308560371399,71
manet_rotate_90_cw_s1,0.35142913460731506,0.3360193073749542,0.8938381671905518,0.9003515839576721,0.8080536723136902,0.8187631368637085,0.9109252691268921,0.9120736122131348,0.9741043448448181,0.9749802947044373,72
manet_rotate_90_cw_s2,0.3512323498725891,0.3348483741283417,0.8938454389572144,0.9007251858711243,0.8080655932426453,0.8193812370300293,0.9109952449798584,0.9124269485473633,0.9742742776870728,0.9752522110939026,70
manet_rotate_90_cw_s3,0.3478951156139374,0.3329978585243225,0.8948764204978943,0.9008349180221558,0.8097524046897888,0.8195628523826599,0.9112908840179443,0.9122506380081177,0.9742264151573181,0.9752582311630249,66
manet_rotate_90_cw_s4,0.3441709280014038,0.3314722180366516,0.8953437805175781,0.9008558988571167,0.8105180263519287,0.819597601890564,0.911532998085022,0.9121840000152588,0.9743505716323853,0.9753960967063904,41
manet_rotate_180_s0,0.3464948832988739,0.33260634541511536,0.8948924541473389,0.9008888602256775,0.80977863073349,0.8196521997451782,0.9113496541976929,0.912311315536499,0.9742031097412109,0.9752419590950012,30
manet_rotate_180_s1,0.3485112190246582,0.3336302638053894,0.894593358039856,0.9005023241043091,0.8092889189720154,0.8190125226974487,0.9113194942474365,0.9121094942092896,0.9743067026138306,0.9752461910247803,78
manet_rotate_180_s2,0.3507273197174072,0.334084153175354,0.8941444754600525,0.9008169770240784,0.8085545301437378,0.8195331692695618,0.9112386703491211,0.9125171303749084,0.9743484258651733,0.9753674268722534,70
manet_rotate_180_s3,0.3480820059776306,0.33308589458465576,0.8945853114128113,0.9007541537284851,0.80927574634552,0.8194291591644287,0.9112218618392944,0.9122897386550903,0.9742023348808289,0.9752527475357056,65
manet_rotate_180_s4,0.34789299964904785,0.3337276577949524,0.8946092128753662,0.9007028341293335,0.8093148469924927,0.8193442821502686,0.9111924171447754,0.9122073650360107,0.9740838408470154,0.975101113319397,46
manet_rotate_90_ccw_s0,0.34913986921310425,0.33478283882141113,0.8942164182662964,0.9002988338470459,0.8086721897125244,0.8186759352684021,0.9110665917396545,0.9119343757629395,0.9741670489311218,0.9750345945358276,53
