model,test_loss,val_loss,test_dice,val_dice,test_jaccard,val_jaccard,test_bacc,val_bacc,test_auc,val_auc,epoch
unet_baseline_single_s0,0.3538595736026764,0.3428918421268463,0.8925953507423401,0.8975820541381836,0.8060245513916016,0.8141939640045166,0.9091764688491821,0.9092938899993896,0.9729800820350647,0.9736686944961548,39
unet_baseline_single_s1,0.3589259684085846,0.3450159430503845,0.8912957906723022,0.8973978757858276,0.8039076924324036,0.8138909339904785,0.9085787534713745,0.9093425273895264,0.9726933836936951,0.9735286831855774,33
unet_baseline_single_s2,0.36174196004867554,0.3463749289512634,0.8907246589660645,0.8969610929489136,0.8029788136482239,0.8131726980209351,0.9080714583396912,0.9089529514312744,0.9722253084182739,0.973275363445282,38
unet_baseline_single_s3,0.36025214195251465,0.3450533151626587,0.8917413353919983,0.8978510499000549,0.8046329021453857,0.814636766910553,0.9091364145278931,0.9098424911499023,0.9728976488113403,0.9736800193786621,50
unet_baseline_single_s4,0.3588988184928894,0.3430236876010895,0.891989529132843,0.8984567523002625,0.8050370812416077,0.815634548664093,0.909361720085144,0.9103841781616211,0.973046064376831,0.9739561676979065,41
unet_baseline_double_s0,0.3574490249156952,0.3453599214553833,0.8916377425193787,0.8970519304275513,0.8044641613960266,0.8133220076560974,0.9085009098052979,0.908877968788147,0.972507119178772,0.973314106464386,19
unet_baseline_double_s1,0.36511945724487305,0.3465524911880493,0.8909896612167358,0.8978278040885925,0.8034096956253052,0.8145985007286072,0.9086707830429077,0.9099059104919434,0.972683310508728,0.973712682723999,22
unet_baseline_double_s2,0.3553171157836914,0.34104204177856445,0.8926529884338379,0.8986207246780396,0.8061185479164124,0.8159049153327942,0.9097719192504883,0.9104465246200562,0.9732719659805298,0.9741165637969971,20
unet_baseline_double_s3,0.34955066442489624,0.3410686254501343,0.8933658003807068,0.897772490978241,0.8072819709777832,0.8145074248313904,0.9093986749649048,0.9092788696289062,0.9732547998428345,0.9741218090057373,21
unet_baseline_double_s4,0.34920012950897217,0.3387870192527771,0.8936996459960938,0.8985723853111267,0.8078272938728333,0.8158251643180847,0.9097442626953125,0.9100103378295898,0.9734199643135071,0.9743450880050659,24
unet_rotate_90_cw_s0,0.35093891620635986,0.33776670694351196,0.8935957551002502,0.8997334837913513,0.8076575398445129,0.8177414536476135,0.9103847742080688,0.9113670587539673,0.9736188650131226,0.9745512008666992,59
unet_rotate_90_cw_s1,0.35087883472442627,0.33716219663619995,0.893391489982605,0.8996546268463135,0.8073239326477051,0.8176111578941345,0.9102216958999634,0.9112929105758667,0.9736500382423401,0.9746397733688354,52
unet_rotate_90_cw_s2,0.35244321823120117,0.3414655327796936,0.8928548097610474,0.8979262709617615,0.8064478039741516,0.8147605657577515,0.9094970226287842,0.9096657037734985,0.9732376337051392,0.9739357829093933,41
unet_rotate_90_cw_s3,0.3480423092842102,0.3346872329711914,0.8944339156150818,0.9003266096115112,0.8090279698371887,0.8187218308448792,0.9110605716705322,0.9118685126304626,0.9739854335784912,0.9749747514724731,56
unet_rotate_90_cw_s4,0.3521188497543335,0.33821338415145874,0.8932967782020569,0.8992536067962646,0.8071691989898682,0.8169489502906799,0.9102615118026733,0.910966157913208,0.9736059904098511,0.9744910597801208,52
unet_rotate_180_s0,0.35104113817214966,0.3369198441505432,0.8937252759933472,0.8998720645904541,0.8078691959381104,0.817970335483551,0.9104981422424316,0.9114789366722107,0.9736531376838684,0.9746894240379333,47
unet_rotate_180_s1,0.3544207215309143,0.33787721395492554,0.8928697109222412,0.8996796011924744,0.80647212266922,0.8176523447036743,0.9100988507270813,0.911490797996521,0.9735621213912964,0.9746975898742676,71
unet_rotate_180_s2,0.34995806217193604,0.3386841416358948,0.8935163021087646,0.8990691900253296,0.8075277805328369,0.8166446089744568,0.9100385904312134,0.9106978178024292,0.973523736000061,0.9744080901145935,35
unet_rotate_180_s3,0.3479710519313812,0.33592894673347473,0.8942501544952393,0.8997024297714233,0.8087273836135864,0.8176901340484619,0.9106872081756592,0.9111790060997009,0.9738413095474243,0.9747486114501953,59
unet_rotate_180_s4,0.3580750823020935,0.3401682376861572,0.8923014402389526,0.899305522441864,0.8055453896522522,0.8170347213745117,0.9097525477409363,0.9111948013305664,0.9733980298042297,0.9744881391525269,57
unet_rotate_90_ccw_s0,0.346484512090683,0.3338640034198761,0.8949080109596252,0.9004769921302795,0.8098040819168091,0.8189705610275269,0.9113410711288452,0.9119306802749634,0.9741613864898682,0.9750474095344543,59
unet_rotate_90_ccw_s1,0.35623252391815186,0.3389798402786255,0.8927765488624573,0.8993911147117615,0.8063201308250427,0.8171759843826294,0.910240650177002,0.9112856388092041,0.9738738536834717,0.9747217893600464,78
unet_rotate_90_ccw_s2,0.34609106183052063,0.33519554138183594,0.8945448994636536,0.8996648192405701,0.8092096447944641,0.817628026008606,0.9106956124305725,0.9110574126243591,0.9739099740982056,0.9749069213867188,47
unet_rotate_90_ccw_s3,0.3517962694168091,0.33719855546951294,0.8938177227973938,0.8996046781539917,0.808020293712616,0.8175286650657654,0.9104899168014526,0.9112024307250977,0.9737164378166199,0.974642276763916,66
unet_rotate_90_ccw_s4,0.3582881987094879,0.340864896774292,0.8920710682868958,0.8992311954498291,0.805169939994812,0.8169119954109192,0.9097390174865723,0.9112095832824707,0.9735075831413269,0.9745756387710571,55
unet_flip_horizontal_s0,0.3496447503566742,0.33589673042297363,0.8942016959190369,0.8999966979026794,0.8086481094360352,0.8181763887405396,0.9110029339790344,0.9116079807281494,0.9739946722984314,0.9748178720474243,53
unet_flip_horizontal_s1,0.3531176447868347,0.3357647657394409,0.8937486410140991,0.9003008008003235,0.8079074025154114,0.81867915391922,0.9105908870697021,0.9119065403938293,0.9736751317977905,0.974912703037262,54
unet_flip_horizontal_s2,0.3556159734725952,0.33801209926605225,0.8928428292274475,0.8998130559921265,0.8064282536506653,0.8178728222846985,0.9101594090461731,0.9116073846817017,0.9736149907112122,0.9746991395950317,47
unet_flip_horizontal_s3,0.3468824028968811,0.33530938625335693,0.8943371176719666,0.8995048403739929,0.8088696002960205,0.8173637986183167,0.9104925394058228,0.9109067916870117,0.9738428592681885,0.9748519659042358,69
