model,test_loss,val_loss,test_dice,val_dice,test_jaccard,val_jaccard,test_bacc,val_bacc,test_auc,val_auc,epoch
manet_s166_resnet50_d3_b8_lr0,0.3485717475414276,0.3346736431121826,0.8945274353027344,0.9000599384307861,0.8091810345649719,0.8182808756828308,0.9110345840454102,0.9115595817565918,0.9740185737609863,0.9749578237533569,54
manet_s168_resnet50_d3_b8_lr0,0.3513098955154419,0.3351364731788635,0.8938259482383728,0.9004056453704834,0.8080337047576904,0.8188525438308716,0.9107959270477295,0.9120591282844543,0.9740099906921387,0.9750454425811768,57
manet_s170_resnet34_d4_b8_lr0,0.35838860273361206,0.3434520363807678,0.8918083310127258,0.8980761170387268,0.8047419786453247,0.8150073885917664,0.9090853929519653,0.909981369972229,0.9728878736495972,0.9738202691078186,31
manet_s172_resnet50_d3_b64_lr0,0.35860300064086914,0.34248876571655273,0.8918609023094177,0.8983032703399658,0.8048275113105774,0.815381646156311,0.9091161489486694,0.9101963043212891,0.9728981256484985,0.9739519953727722,99
manet_s174_resnet50_d3_b8_lr0,0.34870249032974243,0.3347521722316742,0.8943316340446472,0.900407075881958,0.8088605999946594,0.8188549280166626,0.9110918045043945,0.9120016098022461,0.9741157293319702,0.975017786026001,61
manet_s176_resnet50_d3_b8_lr0,0.35321754217147827,0.33578354120254517,0.8938120007514954,0.9003376364707947,0.8080109357833862,0.8187400698661804,0.9108569622039795,0.9120262861251831,0.9739997386932373,0.9750540256500244,68
manet_s178_resnet50_d3_b8_lr0,0.3485907316207886,0.33460545539855957,0.8946018218994141,0.9003122448921204,0.8093027472496033,0.8186980485916138,0.9111565947532654,0.9118232131004333,0.9740856289863586,0.9749829769134521,45
manet_s180_resnet18_d3_b8_lr0,0.35285669565200806,0.34233206510543823,0.8925184011459351,0.8973325490951538,0.8058990836143494,0.8137835264205933,0.9089840650558472,0.9090033173561096,0.9729923009872437,0.9738235473632812,16
manet_s182_resnet50_d3_b16_lr0,0.35963767766952515,0.34559154510498047,0.8911458849906921,0.8971891403198242,0.8036637306213379,0.8135476112365723,0.9083878993988037,0.9091408252716064,0.9725720882415771,0.9734153747558594,22
manet_s184_resnet50_d3_b8_lr0,0.3468342423439026,0.3329845666885376,0.8948110938072205,0.9008650779724121,0.8096453547477722,0.8196128606796265,0.911283016204834,0.9123075604438782,0.9741337895393372,0.9751908779144287,48
manet_s186_resnet50_d3_b8_lr0,0.3478550314903259,0.3334334194660187,0.8946569561958313,0.9006257057189941,0.8093929886817932,0.8192166090011597,0.9111511707305908,0.9120907783508301,0.9741087555885315,0.9751427173614502,53
manet_s188_resnet50_d3_b8_lr0,0.35523509979248047,0.3370510935783386,0.8933971524238586,0.9002938866615295,0.8073331117630005,0.8186677098274231,0.9106634259223938,0.91205894947052,0.9739587306976318,0.9749857187271118,63
manet_s190_resnet50_d3_b8_lr0,0.3438350558280945,0.33333271741867065,0.89495450258255,0.9001986980438232,0.8098801970481873,0.8185102939605713,0.9109439849853516,0.9115009307861328,0.9742300510406494,0.9751754999160767,57
manet_s192_resnet50_d3_b8_lr0,0.34716492891311646,0.33452391624450684,0.8946068286895752,0.9003927707672119,0.809311032295227,0.8188312649726868,0.9111064672470093,0.9118862748146057,0.9740623831748962,0.9749647378921509,41
manet_s194_resnet50_d3_b8_lr0,0.34837013483047485,0.3347404897212982,0.8943836688995361,0.9000899195671082,0.8089457750320435,0.8183304667472839,0.9110190868377686,0.9116588234901428,0.974105179309845,0.9749820232391357,66
manet_s196_resnet50_d3_b8_lr0,0.34798115491867065,0.33438557386398315,0.8943786025047302,0.9003605246543884,0.8089375495910645,0.8187779188156128,0.9110515117645264,0.9119031429290771,0.9740433692932129,0.9750224947929382,49
manet_s198_resnet50_d3_b8_lr0,0.34771406650543213,0.33369243144989014,0.8946006894111633,0.9002727270126343,0.8093008995056152,0.8186327219009399,0.9108893871307373,0.9116473197937012,0.9739878177642822,0.975072979927063,57
manet_s200_resnet50_d3_b8_lr1,0.3682365417480469,0.3567485511302948,0.8883832097053528,0.8935580253601074,0.7991811633110046,0.80759596824646,0.9057745933532715,0.9058237075805664,0.9710203409194946,0.9716262817382812,18
manet_s201_resnet50_d3_b8_lr0,0.3525550067424774,0.33565595746040344,0.8940639495849609,0.9003981947898865,0.8084228038787842,0.8188402652740479,0.9109549522399902,0.9120233654975891,0.9739340543746948,0.9749994277954102,63
manet_s203_resnet50_d3_b8_lr0,0.3461205065250397,0.3333350419998169,0.8947557806968689,0.9003874659538269,0.8095548748970032,0.8188225030899048,0.9110413789749146,0.9117920398712158,0.9740709662437439,0.9751137495040894,47
manet_s206_resnet50_d3_b8_lr0,0.344583660364151,0.33313411474227905,0.8951468467712402,0.9005128741264343,0.8101953268051147,0.8190299868583679,0.9112064242362976,0.9117944240570068,0.9741836786270142,0.9751700162887573,46
manet_s208_resnet50_d3_b8_lr0,0.34531986713409424,0.3339608907699585,0.8947710990905762,0.8998199105262756,0.8095798492431641,0.8178842067718506,0.9108812212944031,0.9111744165420532,0.9740605354309082,0.9750630855560303,53
manet_s210_resnet50_d3_b8_lr0,0.3477858901023865,0.33362191915512085,0.8946126103401184,0.9005550742149353,0.8093204498291016,0.8190997838973999,0.9111037850379944,0.9120208024978638,0.9741621613502502,0.9751200675964355,75
manet_s212_resnet50_d3_b8_lr0,0.3493312895298004,0.33540838956832886,0.8941614627838135,0.9000110030174255,0.8085823059082031,0.8181999921798706,0.9107657670974731,0.9115524291992188,0.973871111869812,0.9748366475105286,26
manet_s214_resnet50_d3_b8_lr0,0.34973394870758057,0.33499425649642944,0.89405757188797,0.900241494178772,0.8084123730659485,0.8185811042785645,0.9106937646865845,0.9117857813835144,0.9738413095474243,0.9749194383621216,68
manet_s216_resnet50_d3_b8_lr0,0.3498508930206299,0.3355095386505127,0.8940773010253906,0.9001305103302002,0.808444619178772,0.8183975219726562,0.9108903408050537,0.9117591381072998,0.9739735126495361,0.9749327898025513,33
manet_s218_resnet50_d3_b8_lr0,0.3500216603279114,0.336783766746521,0.8938978314399719,0.8998386263847351,0.8081513047218323,0.817915141582489,0.9106388092041016,0.9114702343940735,0.9737749695777893,0.9747183322906494,37
manet_s220_resnet50_d3_b16_lr0,0.3586300015449524,0.3434808850288391,0.8915332555770874,0.8981332778930664,0.8042941689491272,0.8151015639305115,0.9087975025177002,0.9100083112716675,0.9726747274398804,0.9738137722015381,29
manet_s222_resnet50_d3_b8_lr2,0.4003833532333374,0.3981208801269531,0.8769850730895996,0.8793976902961731,0.7809202075004578,0.7847545146942139,0.8949759006500244,0.8929318785667419,0.9652097225189209,0.9649880528450012,15
manet_s224_resnet50_d3_b8_lr0,0.3472931981086731,0.3343426585197449,0.894618034362793,0.9001150131225586,0.8093292713165283,0.8183718919754028,0.9109514951705933,0.911547064781189,0.973890483379364,0.9749723672866821,58
manet_s226_resnet50_d3_b8_lr0,0.3482467830181122,0.33500152826309204,0.8941503763198853,0.8998706936836243,0.8085641860961914,0.8179681301116943,0.9106295108795166,0.9113649129867554,0.973835825920105,0.9748737215995789,65
manet_s228_resnet50_d3_b8_lr0,0.3529376983642578,0.3370133638381958,0.893471896648407,0.9001607298851013,0.8074552416801453,0.8184475302696228,0.9106940031051636,0.9119338393211365,0.9740065336227417,0.9749224781990051,60
manet_s231_resnet50_d3_b32_lr0,0.3548390865325928,0.34331661462783813,0.8922500014305115,0.8976117968559265,0.805461585521698,0.8142428994178772,0.9089834690093994,0.9093531966209412,0.9728553891181946,0.9736778736114502,45
manet_s232_resnet50_d3_b8_lr0,0.34797564148902893,0.3342289626598358,0.894738495349884,0.9002023935317993,0.8095265626907349,0.8185164332389832,0.9111484885215759,0.9116635322570801,0.9739736318588257,0.9749689698219299,58
manet_s234_resnet50_d3_b8_lr0,0.35018113255500793,0.33565354347229004,0.8941155672073364,0.9002069234848022,0.8085072040557861,0.8185238838195801,0.9107818603515625,0.9117705821990967,0.9739724397659302,0.9748802781105042,46
manet_s236_resnet50_d3_b8_lr0,0.3492559790611267,0.33634811639785767,0.8940733671188354,0.9000959992408752,0.8084383010864258,0.8183404803276062,0.9108322262763977,0.9117084741592407,0.973936915397644,0.9748415350914001,29
manet_s238_resnet50_d3_b8_lr0,0.34736454486846924,0.3333270847797394,0.8946348428726196,0.9001941680908203,0.8093568086624146,0.8185027837753296,0.9110678434371948,0.9116580486297607,0.9740436673164368,0.9751348495483398,63
