model,test_loss,val_loss,test_dice,val_dice,test_jaccard,val_jaccard,test_bacc,val_bacc,test_auc,val_auc,epoch
unet_s158_resnet34_d4_b8_lr0,0.35409167408943176,0.34224629402160645,0.8925538659095764,0.8980534076690674,0.8059569597244263,0.8149699568748474,0.9094046354293823,0.9098211526870728,0.9731094241142273,0.9738103151321411,31
unet_s160_resnet34_d4_b8_lr0,0.35796666145324707,0.34395042061805725,0.891887903213501,0.8979650735855103,0.8048715591430664,0.8148245215415955,0.9092448353767395,0.9099335670471191,0.9731183052062988,0.9738532304763794,29
unet_s162_resnet34_d4_b8_lr1,0.36977019906044006,0.36245110630989075,0.8872876763343811,0.8912175297737122,0.7974097728729248,0.8037803173065186,0.9041882753372192,0.9034807682037354,0.9702508449554443,0.9706898331642151,16
unet_s164_resnet34_d4_b8_lr0,0.362067312002182,0.34846463799476624,0.8906985521316528,0.8971073627471924,0.8029364943504333,0.813413143157959,0.9082280397415161,0.9091697931289673,0.9723817110061646,0.973212718963623,29
unet_s166_resnet34_d4_b8_lr0,0.35514751076698303,0.34263771772384644,0.8924075961112976,0.8979781866073608,0.8057184219360352,0.8148460984230042,0.9092986583709717,0.9097634553909302,0.9729977250099182,0.973757266998291,39
unet_s168_resnet34_d4_b8_lr0,0.35057929158210754,0.3370329737663269,0.8936946988105774,0.8997666835784912,0.8078192472457886,0.8177962303161621,0.9105195999145508,0.9114062786102295,0.9737244844436646,0.9746733903884888,74
unet_s171_resnet18_d4_b8_lr0,0.36082714796066284,0.3441179692745209,0.892035961151123,0.8982266783714294,0.8051127791404724,0.8152554631233215,0.9093631505966187,0.9101470708847046,0.9730608463287354,0.9739179611206055,39
unet_s173_resnet18_d4_b8_lr2,0.397382527589798,0.3908061385154724,0.8793706893920898,0.8837498426437378,0.784711480140686,0.7917130589485168,0.8975292444229126,0.8969036340713501,0.9661203622817993,0.9662877321243286,37
unet_s175_resnet18_d4_b8_lr0,0.3537745475769043,0.3416825532913208,0.8928440809249878,0.8983495235443115,0.8064302802085876,0.8154578804969788,0.9096068143844604,0.9100769758224487,0.9731158018112183,0.9739033579826355,29
unet_s177_resnet18_d4_b8_lr0,0.35221612453460693,0.34103554487228394,0.8932080268859863,0.8983786106109619,0.807024359703064,0.8155058026313782,0.9098723530769348,0.9100618362426758,0.9732479453086853,0.9740346670150757,35
